Hour,Floor,Count
0,8,14
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,6,8
9,6,4
10,11,3
11,12,3
12,0,0
13,0,0
14,1,3
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
